1501,20.8,79.5
1502,21.1,80.3
1503,21.1,80.4
1504,21.1,80
1505,21.1,80
1506,21.1,79.6
1507,21.1,79.7
1508,21.1,80
1509,21.1,80
1510,21.1,79.9
1511,21.2,79.8
1512,21.2,79.5
1513,21.2,79.4
1514,21.2,79.2
1515,21.2,78.9
1516,21.2,79.2
1517,21.3,79.1
1518,21.3,78.5
1519,21.3,78.8
1520,21.3,78.8
1521,21.3,78.8
1522,21.3,78.7
1523,21.3,78.5
1524,21.2,78.1
1525,21.3,77.6
1526,21.3,77.2
1527,21.3,76.9
1528,21.3,77
1529,21.3,76.5
1530,21.3,76.5
1531,21.3,76.5
1532,21.3,76.2
1533,21.3,76.1
1534,21.4,76
1535,21.4,76.1
1536,21.4,76
1537,21.4,76
1538,21.4,76.4
1539,21.4,76.3
1540,21.3,76.5
1541,21.3,76.6
1542,21.3,76.7
1543,21.3,76.8
1544,21.3,76.8
1545,21.3,76.3
1546,21.3,76.4
1547,21.3,76
1548,21.3,76
1549,21.4,76.1
1550,21.4,76.5
1551,21.3,76.5
1552,21.4,76.9
1553,21.3,76.9
1554,21.3,77.2
1555,21.3,76.7
1556,21.3,75.6
1557,21.3,75.8
1558,21.4,75.6
1559,21.4,76.2
1600,21.4,75.6
1601,21.4,75.3
1602,21.4,75.1
1603,21.5,75
1604,21.5,74.7
1605,21.5,74.8
1606,21.6,75.2
1607,21.6,75.3
1608,21.6,74.6
1609,21.6,74.3
1610,21.7,74.2
1611,21.7,74.6
1612,21.7,74.2
1613,21.7,74.2
1614,21.7,74.1
1615,21.7,74.3
1616,21.7,74.9
1617,21.7,75.1
1618,21.7,74.8
1619,21.7,75
1620,21.7,74.4
1621,21.7,74.6
1622,21.7,75.1
1623,21.7,74.9
1624,21.7,75.4
1625,21.7,75.2
1626,21.7,75.2
1627,21.7,75.2
1628,21.7,75.2
1629,21.7,75.4
1630,21.7,75.6
1631,21.7,75.8
1632,21.7,75.9
1633,21.7,76.4
1634,21.8,76.1
1635,21.7,76
1636,21.8,76
1637,21.7,76.3
1638,21.7,76.3
1639,21.8,76
1640,21.8,76.2
1641,21.8,76.4
1642,21.8,76.5
1643,21.8,76.4
1644,21.8,76.6
1645,21.8,76.2
1646,21.8,75.8
1647,21.9,75.4
1648,21.9,75
1649,21.9,74.5
1650,21.9,74.8
1651,21.9,74.9
1652,21.9,75.1
1653,21.9,75.7
1654,21.9,75.7
1655,21.9,75.7
1656,21.9,75.1
1657,21.9,74.9
1658,21.9,74.8
1659,21.9,74.8
1700,21.9,75.1
1701,21.9,75
